content_key,show_id,type,title,release_year,date_added,year_added,month_added,country,primary_country,language,popularity,vote_average,vote_count,has_valid_votes,weighted_rating,genres_harmonized,genre
movies_275287,275287,Movie,LEGO Hero Factory: Rise of the Rookies,2010,2010-11-16,2010,11,United States of America,United States of America,en,4.029,6.1,15,True,6.59,"Action, Animation, Family",Animation
movies_275287,275287,Movie,LEGO Hero Factory: Rise of the Rookies,2010,2010-11-16,2010,11,United States of America,United States of America,en,4.029,6.1,15,True,6.59,"Action, Animation, Family",Family
movies_55797,55797,Movie,Fireman Sam: The Great Fire of Pontypandy,2010,2010-04-05,2010,4,United Kingdom,United Kingdom,en,4.016,5.8,10,True,6.59,"Animation, Family, TV Movie",Animation
movies_55797,55797,Movie,Fireman Sam: The Great Fire of Pontypandy,2010,2010-04-05,2010,4,United Kingdom,United Kingdom,en,4.016,5.8,10,True,6.59,"Animation, Family, TV Movie",Family
movies_55797,55797,Movie,Fireman Sam: The Great Fire of Pontypandy,2010,2010-04-05,2010,4,United Kingdom,United Kingdom,en,4.016,5.8,10,True,6.59,"Animation, Family, TV Movie",TV Movie
movies_43944,43944,Movie,Bonded by Blood,2010,2010-09-02,2010,9,United Kingdom,United Kingdom,en,4.007,5.167,39,True,6.37,"Drama, Thriller, Crime",Drama
movies_43944,43944,Movie,Bonded by Blood,2010,2010-09-02,2010,9,United Kingdom,United Kingdom,en,4.007,5.167,39,True,6.37,"Drama, Thriller, Crime",Thriller
movies_43944,43944,Movie,Bonded by Blood,2010,2010-09-02,2010,9,United Kingdom,United Kingdom,en,4.007,5.167,39,True,6.37,"Drama, Thriller, Crime",Crime
movies_42291,42291,Movie,The Buddha,2010,2010-04-17,2010,4,United States of America,United States of America,en,3.998,6.6,15,True,6.63,Documentary,Documentary
movies_50210,50210,Movie,Man of Vendetta,2010,2010-07-01,2010,7,South Korea,South Korea,ko,3.989,6.4,40,True,6.59,"Thriller, Action",Thriller
movies_50210,50210,Movie,Man of Vendetta,2010,2010-07-01,2010,7,South Korea,South Korea,ko,3.989,6.4,40,True,6.59,"Thriller, Action",Action
movies_68803,68803,Movie,Bond of Silence,2010,2010-08-23,2010,8,"Canada, United States of America",Canada,en,3.986,6.3,15,True,6.61,"TV Movie, Drama, Mystery",TV Movie
movies_68803,68803,Movie,Bond of Silence,2010,2010-08-23,2010,8,"Canada, United States of America",Canada,en,3.986,6.3,15,True,6.61,"TV Movie, Drama, Mystery",Drama
movies_68803,68803,Movie,Bond of Silence,2010,2010-08-23,2010,8,"Canada, United States of America",Canada,en,3.986,6.3,15,True,6.61,"TV Movie, Drama, Mystery",Mystery
movies_41616,41616,Movie,Formosa Betrayed,2010,2010-02-26,2010,2,United States of America,United States of America,en,3.977,6.1,19,True,6.58,"Action, Adventure, Drama, Mystery, Thriller",Action
movies_41616,41616,Movie,Formosa Betrayed,2010,2010-02-26,2010,2,United States of America,United States of America,en,3.977,6.1,19,True,6.58,"Action, Adventure, Drama, Mystery, Thriller",Adventure
movies_41616,41616,Movie,Formosa Betrayed,2010,2010-02-26,2010,2,United States of America,United States of America,en,3.977,6.1,19,True,6.58,"Action, Adventure, Drama, Mystery, Thriller",Drama
movies_41616,41616,Movie,Formosa Betrayed,2010,2010-02-26,2010,2,United States of America,United States of America,en,3.977,6.1,19,True,6.58,"Action, Adventure, Drama, Mystery, Thriller",Mystery
movies_41616,41616,Movie,Formosa Betrayed,2010,2010-02-26,2010,2,United States of America,United States of America,en,3.977,6.1,19,True,6.58,"Action, Adventure, Drama, Mystery, Thriller",Thriller
movies_175987,175987,Movie,Red Dead Redemption: The Man from Blackwater,2010,2010-05-29,2010,5,United States of America,United States of America,en,3.97,6.4,15,True,6.61,"Animation, Western",Animation
movies_175987,175987,Movie,Red Dead Redemption: The Man from Blackwater,2010,2010-05-29,2010,5,United States of America,United States of America,en,3.97,6.4,15,True,6.61,"Animation, Western",Western
movies_52013,52013,Movie,Marwencol,2010,2010-03-12,2010,3,United States of America,United States of America,en,3.969,7.2,63,True,6.78,Documentary,Documentary
movies_41156,41156,Movie,I Am Comic,2010,2010-01-10,2010,1,United States of America,United States of America,en,3.964,6.3,16,True,6.6,"Documentary, Comedy",Documentary
movies_41156,41156,Movie,I Am Comic,2010,2010-01-10,2010,1,United States of America,United States of America,en,3.964,6.3,16,True,6.6,"Documentary, Comedy",Comedy
movies_119441,119441,Movie,"Hetalia: Axis Powers: Paint It, White!",2010,2010-06-05,2010,6,Japan,Japan,ja,3.963,7.0,32,True,6.68,"Animation, History, Comedy",Animation
movies_119441,119441,Movie,"Hetalia: Axis Powers: Paint It, White!",2010,2010-06-05,2010,6,Japan,Japan,ja,3.963,7.0,32,True,6.68,"Animation, History, Comedy",History
movies_119441,119441,Movie,"Hetalia: Axis Powers: Paint It, White!",2010,2010-06-05,2010,6,Japan,Japan,ja,3.963,7.0,32,True,6.68,"Animation, History, Comedy",Comedy
movies_74447,74447,Movie,The Hammer,2010,2010-10-26,2010,10,United States of America,United States of America,en,3.961,6.7,35,True,6.64,"Drama, History",Drama
movies_74447,74447,Movie,The Hammer,2010,2010-10-26,2010,10,United States of America,United States of America,en,3.961,6.7,35,True,6.64,"Drama, History",History
movies_40167,40167,Movie,Harmony,2010,2010-01-28,2010,1,South Korea,South Korea,ko,3.961,7.7,33,True,6.79,"Drama, Music",Drama
movies_40167,40167,Movie,Harmony,2010,2010-01-28,2010,1,South Korea,South Korea,ko,3.961,7.7,33,True,6.79,"Drama, Music",Music
movies_47868,47868,Movie,The First Men in the Moon,2010,2010-10-19,2010,10,United Kingdom,United Kingdom,en,3.954,5.6,23,True,6.52,"Science Fiction, TV Movie",Science Fiction
movies_47868,47868,Movie,The First Men in the Moon,2010,2010-10-19,2010,10,United Kingdom,United Kingdom,en,3.954,5.6,23,True,6.52,"Science Fiction, TV Movie",TV Movie
movies_74518,74518,Movie,Territories,2010,2010-10-19,2010,10,"Canada, France",Canada,en,3.94,5.167,93,True,6.14,"Thriller, Horror",Thriller
movies_74518,74518,Movie,Territories,2010,2010-10-19,2010,10,"Canada, France",Canada,en,3.94,5.167,93,True,6.14,"Thriller, Horror",Horror
movies_39845,39845,Movie,Love Ranch,2010,2010-06-30,2010,6,"United States of America, Germany",United States of America,en,3.931,5.4,50,True,6.37,Drama,Drama
movies_47068,47068,Movie,Mo,2010,2010-01-31,2010,1,United Kingdom,United Kingdom,en,3.928,6.25,8,True,6.61,"Drama, TV Movie",Drama
movies_47068,47068,Movie,Mo,2010,2010-01-31,2010,1,United Kingdom,United Kingdom,en,3.928,6.25,8,True,6.61,"Drama, TV Movie",TV Movie
movies_59728,59728,Movie,The 5th Quarter,2010,2010-04-08,2010,4,United States of America,United States of America,en,3.927,5.6,28,True,6.49,Drama,Drama
movies_51823,51823,Movie,Across the Line: The Exodus of Charlie Wright,2010,2010-12-28,2010,12,United States of America,United States of America,en,3.926,5.0,42,True,6.33,"Drama, Action, Thriller, Crime",Drama
movies_51823,51823,Movie,Across the Line: The Exodus of Charlie Wright,2010,2010-12-28,2010,12,United States of America,United States of America,en,3.926,5.0,42,True,6.33,"Drama, Action, Thriller, Crime",Action
movies_51823,51823,Movie,Across the Line: The Exodus of Charlie Wright,2010,2010-12-28,2010,12,United States of America,United States of America,en,3.926,5.0,42,True,6.33,"Drama, Action, Thriller, Crime",Thriller
movies_51823,51823,Movie,Across the Line: The Exodus of Charlie Wright,2010,2010-12-28,2010,12,United States of America,United States of America,en,3.926,5.0,42,True,6.33,"Drama, Action, Thriller, Crime",Crime
movies_46504,46504,Movie,Guy and Madeline on a Park Bench,2010,2010-03-28,2010,3,United States of America,United States of America,en,3.92,5.4,55,True,6.35,"Drama, Music, Romance",Drama
movies_46504,46504,Movie,Guy and Madeline on a Park Bench,2010,2010-03-28,2010,3,United States of America,United States of America,en,3.92,5.4,55,True,6.35,"Drama, Music, Romance",Music
movies_46504,46504,Movie,Guy and Madeline on a Park Bench,2010,2010-03-28,2010,3,United States of America,United States of America,en,3.92,5.4,55,True,6.35,"Drama, Music, Romance",Romance
movies_73541,73541,Movie,You Should Meet My Son!,2010,2010-10-31,2010,10,United States of America,United States of America,en,3.919,6.4,40,True,6.59,Comedy,Comedy
